#
#Results from query to  NASA/IPAC Extragalactic Database (NED),
#which is operated by the Jet Propulsion Laboratory, California Institute of
#Technology, under contract with the National Aeronautics and Space Administration.
#This work was (partially) supported by the US National Virtual Observatory
#development project, which is funded by the National Science Foundation
#under cooperative agreement AST0122449 with The Johns Hopkins University.
#
#queryDateTime:2012-10-16T09:32:56PDT
#
#Main Information Table for Searching NED within 180.000 arcmin of 194.952917, 27.980556
#
#Equinox:J2000.0
#
#CoordSystem:Equatorial
#
#N.	Name				        RA(deg)		  DEC(deg)	Type   Velocity  z	Flag	               Magn&Filter Dist(')	Ref	Not	Phm #Points	Positions	Redshift Points	Diameter Points	Associations
1	SDSS J125948.59+275857.8	194.95246 	  27.98274 	G	  5306	 0.017700 	    	18.6g	  0.133	13	0	28	3	0	4	0
2	IC 3998	194.94492 	  27.97385 	G	  9453	 0.031532 	    	15.57	  0.584	83	1	58	4	5	7	1
3	SDSS J125946.93+275930.9	194.94556 	  27.99192 	G	  8360	 0.027886 	    	18.3g	  0.785	19	0	33	3	0	4	2
4	SDSS J125944.76+275807.1	194.93653 	  27.96867 	G	  9870	 0.032923 	    	21.1g	  1.124	5	0	16	2	0	4	0
5	SDSS J125952.18+275946.3	194.96745 	  27.99621 	G	  8641	 0.028823 	    	21.7g	  1.215	6	0	17	2	0	4	0
6	NGP9 F323-0927939	194.97472 	  27.97056 	G	  6618	 0.022075 	    	18.63	  1.302	13	0	16	2	0	0	2
7	SDSS J125943.95+275802.0	194.93315 	  27.96724 	G	  7926	 0.026438 	    	22.7g	  1.317	2	0	16	1	0	4	0
8	GIN 786	194.93219 	  27.99469 	G	  6688	 0.022309 	    	15.9g	  1.388	81	1	32	3	10	5	1
9	SDSS J125951.81+275726.3	194.96591 	  27.95731 	G	  5960	 0.019880 	    	21.4g	  1.555	5	0	16	2	0	4	2
10	2MASX J12594423+2757307	194.93419 	  27.95842 	G	  6892	 0.022989 	    	16.2g	  1.658	53	0	45	4	4	6	0
11	SDSS J125942.92+275954.6	194.92886 	  27.99851 	G	  8497	 0.028343 	    	20.9g	  1.669	1	0	16	1	0	4	1
12	SDSS J125940.27+275805.6	194.91780 	  27.96824 	G	  7531	 0.025121 	    	16.7g	  2.002	43	0	31	3	6	4	0
13	2MASX J12593827+2759137	194.90966 	  27.98720 	G	  6776	 0.022602 	    	16.4g	  2.326	47	0	42	4	7	7	0
14	SDSS J125939.22+275954.7	194.91343 	  27.99853 	*	  7075	 0.023600 	    	20.9g	  2.354	3	0	9	1	0	4	1
15	SDSS J125942.27+280054.6	194.92616 	  28.01518 	G	  7934	 0.026465 	    	20.2r	  2.515	4	0	8	1	0	4	0
16	SDSS J125959.96+275917.8	194.99983 	  27.98828 	G	  9031	 0.030124 	    	20.1r	  2.529	3	0	1	0	0	0	2
17	SDSS J125959.90+275921.8	194.99958 	  27.98940 	G	  6535	 0.021800 	    	21.0g	  2.529	1	0	17	1	0	4	2
